item;fator;enunciado;cat1;cat2;cat3;cat4
essf101;F1;Exemplo de item 1;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf102;F1;Exemplo de item 2;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf103;F1;Exemplo de item 3;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf201;F2;Exemplo de item 4;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf202;F2;Exemplo de item 5;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf301;F3;Exemplo de item 6;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf302;F3;Exemplo de item 7;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf303;F3;Exemplo de item 8;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf401;F4;Exemplo de item 9;Nunca;Poucas vezes;Muitas vezes;Frequentemente
essf402;F4;Exemplo de item 10;Nunca;Poucas vezes;Muitas vezes;Frequentemente
